ID,Timestamp,Tweet URL,Group,Category,Topic,Keywords,Account handle,Account name,Account type,Joined,Following,Followers,Tweet,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets
16-50,03/04/23 07:11:10,https://twitter.com/treb23808815/status/1068205992490475521,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@treb23808815,SolidDds,Anonymous,06/18,107,39,"Dating congressman SATUR OCAMPO AT ACT TEACHERS PARTY LIST REP. FRANCE CASTRO, DINUKOT ANG MGA KABATAANG LUMAD UPANG GAWING NPA at isama sa mga RALLY nahaharap sila ngayon sa kasong KIDNAPPING AT HUMAN TRAFFICKING SI OCAMPO AT CASTRO AY MGA  KILALANG MGA SUPPORTERS NG LP",Text,30/11/18 02:12:00,https://drive.google.com/file/d/1oOvCjaIHo5tFwms4LhVtUpUrdLv4K0yf/view?usp=sharing,Rational,1,1,1,0
16-51,03/04/23 07:13:44,https://twitter.com/ThyzenKingTrix/status/1047359951084158977,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@ThyzenKingTrix,SilentROAR,Anonymous,07/15,601,222,"Kasi nagiging breeding ground ng mga NPA ang lugar.

Hindi lumad ang bobombahin yung mga pugad na nagiging pugad ng NPA.","Text, Reply",03/10/18 13:37:00,https://drive.google.com/file/d/1Xyc0k5bEX6-EvAJeJ0FL-VtIb_bFPKby/view?usp=sharing,Rational,3,1,0,0
16-52,03/04/23 07:28:57,https://twitter.com/floralovehelia/status/1266185317242953729,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@floralovehelia,debie (hiatus fangirl) #MNL48DeservesBetter,Anonymous,03/10,186,152,Do you even know why those lumad school is being close? They are use by NPA to recruit members of their group get your fact straight and I know why? Cause I'm from Mindanao and even know a friend  who stop going on to those school for that reason NPA recruiting them.,"Text, Reply",29/05/20 09:51:00,https://drive.google.com/file/d/15ZRzu_C_V1xc6DgBmtXl7BtYzXJNReDN/view?usp=sharing,Rational,0,1,0,0
16-53,03/04/23 07:30:45,https://twitter.com/malibago_p/status/1267974502400442368,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@malibago_p,dei verbum,Anonymous,09/15,188,72,"NPA yan kaya utak kriminal yan....eto kasama yan nandukot ng mga lumad children to be trained as NPA fighters fortunately their convoy together with Satur ocampo and other Gabriela members were intercepted by AFP in a checkpoint kaya naka on bail lang yan. Kill all NPA.  
https://twitter.com/BBMmalakas/status/1267507143441170437
{Alt text image: Photo/mugshot of Prancisca Castro, Lustina}","Text, Reply, URL",03/06/20 08:20:00,https://drive.google.com/file/d/17WpJXxUigTSS9qhHb38kSq-Z_pBtNdg7/view?usp=sharing,Rational,17,0,3,0
16-54,03/04/23 00:00:00,https://twitter.com/peachbook611/status/962892723387682822?s=46&t=D2FXMP3SDuYF9GrlXcatvw,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, alcadev, npa",@peachbook611,astergold,Anonymous,03/10,220,9,Alcadev does not represent the Lumads. They are the educating arm of the NPA's. Indoctrination of innocent students. To hate and to defy the govt. But i do not agree this kill for money though.,"Text, Reply",12/02/18 11:34:00,https://drive.google.com/file/d/1Xgym_p6ZBIwp-TWd8sPcRpPO_YfARlAP/view?usp=sharing,Rational,0,0,0,0
16-55,03/04/23 07:38:34,https://twitter.com/SARAH_babyM/status/1295882875892412416,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@SARAH_babyM,Lorraine Sibug,Identified,06/20,351,196,"These are items of propaganda. 

It's one thing to give Lumad children a good & genuine education; it's another thing to use them as items of narratives against the government. You know what's true? NPAs have long been using Lumad schools to recruit children into the revolution.","Text, Reply",19/08/20 08:38:00,https://drive.google.com/file/d/1tAJXnqKEGtU4FAmao31TE_TOiHDsgwqa/view?usp=sharing,Rational,0,0,0,0
16-56,03/04/23 08:19:06,https://twitter.com/laurel_bobby/status/1212078851376857089?s=46&t=D2FXMP3SDuYF9GrlXcatvw,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@laurel_bobby,bobby laurel,Identified,04/19,22,2,Lumad school na ginagawang paaralan ng mga NPA at pinapatay ang mga DATu ng mga teroristang NPa,"Text, Reply",01/01/20 02:31:00,https://drive.google.com/file/d/1qxinrThP8IwtMsn_Jz_Er2_hJGjccHiE/view?usp=sharing,Rational,0,0,0,0
16-57,03/04/23 07:42:08,https://twitter.com/tinkerbeen/status/1292607111076163585,,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@tinkerbeen,tinkerbee,Anonymous,08/14,60,413,"""We cannot deny that schools ALCADEV and Salugpungan are breeding grounds being used to build up the CPP-NPA. Their learning outputs are different from regular schools.""

Students are also taught how to use firearms as part of their eventual recruitment to the NPA.","Text, Reply",10/08/20 07:42:00,https://drive.google.com/file/d/1p_7oiffMgZzRQqkZqDd25CV9vHoUa1k3/view?usp=sharing,Rational,0,1,0,0
16-58,03/04/23 07:42:51,https://twitter.com/grilledhipon/status/1319565965613359104,,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@grilledhipon,Grilled Hipon,Anonymous,02/18,300,175,"A CPP-NPA affiliated school, mainly for recruitment and training of future NPA army, IS GRAVELY SPREADING LIES AND MISINFORMATION ABOUT SOLDIERS, TAINTING THE DEFENSE FORCE OF THE COUNTRY WITH THESE NONSENSE MALICIOUS LIES!
You'll be terminated soon, ALCADEV.
#EndTerrorismNow","Text, Reply",23/10/20 17:06:00,https://drive.google.com/file/d/1zOK_7fCDvkIwIUVQA5YjJLZcCgzn5GUU/view?usp=sharing,"Rational, Emotional",0,0,0,0
16-59,03/04/23 08:01:03,https://twitter.com/francis74421511/status/1276379567050108939?s=46&t=D2FXMP3SDuYF9GrlXcatvw,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@Francis74421511,Francis Sebastian,Identified,05/20,2159,1567,"#YesToAntiTerrorismBill
#SupportAntiTerrorismBill
#EndTerrorism
#EndTerrorismNow
#JunkTerrorists
{Alt text image: Good governance whole of government approach. The Department of Education (DEPED) closed the ALCADEV and TRIFPSS in CARAGA which are being used as training ground of the CPP-NDF-NPA terrorist group. DEPED has now started constructing new schools in the area. No to CPP-NDF-NPA terrorist group! #SupportAntiTerrorismBill}","Text, Image",26/06/20 12:59:00,https://drive.google.com/file/d/1jWyDVHfMGFfdYmxrZsrqJuexW3VKaWOj/view?usp=sharing,Rational,4,0,0,1
16-60,03/04/23 09:25:49,https://twitter.com/JaredXenos/status/940871844298706944,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, schools, npa",@JaredXenos,jared zane xenos,Identified,02/13,251,181,Mindanaoans especially lumads rejoice at ML extension preventing communists terrorism & brainwashing of lumad children. Victory for Mindanao,"Text, Reply",13/12/17 17:11:00,https://drive.google.com/file/d/1PDRbw5DbDhPYOBdBBa1uAhgSLWjRnoTC/view?usp=sharing,Rational,2,0,0,1
16-61,06/04/23 12:07:17,https://twitter.com/ParladeJr/status/1345379376406306817 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@ParladeJr,Antonio Jr Parlade,Identified,11/19,12,6983,"This is one of the Ibon manuals provided to the CPP NPA schools (ALCADEV, TRIFPSS, CLANS, Salugpungan). Its the reason Jevylin Cullamat aas radicalized to become NPA, other than her mother Rep Cullamat being a CPP member. Taguiwalo of Gabriela  is editor https://viber.com/invite/024ce857bd863d980d533a57b6f675618d2dccee812fe36345de895d14018e59

{Alt-text image: cover of textbook titled ""Mga Kotemporaryong Isyu ng Pilipinas""}","Text, Image, URL",02/01/21 22:40,https://drive.google.com/file/d/1dg3QUfAgRwOtw50QXkeMYP-LOJ0RU9k4/view?usp=share_link ,"Rational, Transactional",192,5,74,7
16-62,06/04/23 2:21:43,https://twitter.com/luisaelago/status/1175628992084242432,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@luisaelago,Lui 💜,Anonymous,07/09,559,517,"Hahaha... so ROTC is bad pero NPA propaganda is good? I also have concerns with ROTC, but that is a completely different issue. It does not justify what NPA is doing in ALCADEV, brainwashing the community there and endangering them kasi naiipit sila sa gulo.","Text, Reply",22/09/19 12:32,https://drive.google.com/file/d/1k905BwBtG5PXuNVVWlZTpTSqUZaZqHfP/view?usp=share_link,"Rational, Emotional",0,1,0,0
16-63,06/04/23 2:36:04,https://twitter.com/luisaelago/status/1175581468384301056 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@luisaelago,Lui 💜,Anonymous,07/09,559,517,What you teach in the schools is definitely NPA-propaganda. So it is your fault that nadadamay yung mga local communities ng Lumad. Stop using them!,"Text, Reply",22/09/19 09:23,https://drive.google.com/file/d/1Fep-v0AntdXL6byOFLIfBjO0AQpkvUnr/view?usp=share_link,"Rational, Emotional",2,3,0,2
16-64,07/04/23 14:39:04,https://twitter.com/GiboTeodoroJr/status/1554309065756803072 ,16,REDT,Red-tagging of Lumads/Lumad schools,"salugpongan, npa",@GiboTeodoroJr,Bagong Pilipinas 🇵🇭 ,Anonymous,04/22,98,9201,"BASAHIN ANG KATOTOHANAN SA LIKOD NG PAGPAPASARA NG SALUGPONGAN SCHOOLS: by Arian Jane Ramos 👇🏽 Link below

No to CPP NPA NDF!!! #GiboTeodoro

{Alt-text image: To the left the is the DepEd logo, Sara Duterte in a traditional Bagobo dress from the 2022 SONA, and several lumad children. To the right is the caption ""EDUKASYON ANG PARA KAY BOYE AT OTO HINDI ANG TERORISMO!"" with the logos of the CPP, NPA and NDF below it.} ","Text, Image",02/08/22 11:32,https://drive.google.com/file/d/1fBJl3kZ5y15CJEWvzBDkjN0PWpa8Rcz6/view?usp=share_link,Rational,268,2,72,4
16-65,07/04/23 15:22:58,"Text, Reply",16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, NPA",@mirasga,"Matt Irasga 🇵🇭",Identified,12/08,1507,10800,Front lang yung schools.,Text,25/07/17 19:11,https://drive.google.com/file/d/1l8obTAPU_osnKESR2EmFF3wl1WU-XVqt/view?usp=share_link,Rational,0,0,0,0
16-66,07/04/23 15:29:16,https://twitter.com/Player0510/status/1313511629665918976 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@Player0510,Player05,Anonymous,06/19,39,5,"ayay yan pala yung padepa. naku parang alcadev din pala yan. huwag mo sayangin buhay mo dyan. maradicalize ka sa mga tinuturo nila, ingat ka inday ha (babae ka ba?) baka pasalihin ka nila sa NPA, naku po, ingat ka talaga.","Text, Reply",07/10/20 00:09,https://drive.google.com/file/d/126baDuetvq2kT8GzLdRU7ecV6pEeZpsy/view?usp=share_link,Emotional,0,0,0,0
16-67,07/04/23 15:37:04,https://twitter.com/tinkerbeen/status/1320218074641911808 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@tinkerbeen,tinkerbee,Anonymous,08/14,60,413,"""We cannot deny that schools ALCADEV and Salugpungan are breeding grounds being used to build up the CPP-NPA.""

Students are also taught how to use firearms as part of their eventual recruitment to the NPA.","Text, Reply",25/10/20 12:18,https://drive.google.com/file/d/12M0iz2xUT9Mn8A4B7FHfbnT9VJRovSdp/view?usp=share_link,Rational,2,0,1,0
16-68,07/04/23 15:42:34,https://twitter.com/AslLotoy/status/1377083430375096324 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@AslLotoy,ASL Lotoy,Anonymous,07/20,378,40,"ALCADEV SKWELAHAN NG NPA KOMUNISTA,ISANG BATS ANG NAGPAKITA NG GALING SA PAG DISMANTLE AT ASSEMBLY NG M16 SA HARAPAN NG MILITARY,ANG BATA TINURUAN SA ALCADEV NG NPA TINURUAN DIN LUMABAN SA GOBYERNO

{Alt-text image: A screenshot taken from a mobile device of a Facebook post by Ardhie Gasapos from Sep 8, 2015 sharing another Facbook post by Alcadev Lumad Caraga Region from Sep 7, 2015 about ""The ALCADEV Hymn""}","Text, Image",31/03/21 10:20,https://drive.google.com/file/d/13LWz4HTfcEbe-1zhDkTy3TnKPq2EOUVc/view?usp=share_link,Rational,0,0,0,0
16-69,07/04/23 16:00:31,https://twitter.com/cinecinecine30/status/1365570805199872002 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@cinecinecine30,cinecinecine30,Anonymous,09/15,150,1620,"fact checking daw ito. sino niloloko ng rappler. moving up ceremony sa alcadev ay nagtatanghal sila ng propaganda ng npa. ulol

{Alt-text image: Screenshot taken from a mobile device of a Rappler article from Feb 25, 2021 titled ""FALSE: Photo proves Alcadev school teaches Lumad kids how to becpome NPA""}","Text, Image",27/02/21 15:53,https://drive.google.com/file/d/1NTvnHICc124BGEk5Hjgk5cZ49JpZsWMZ/view?usp=share_link,Emotional,0,0,0,0
16-70,07/04/23 16:07:21,https://twitter.com/jewelovdNile/status/1347638774738640896 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@jewelovdNile,Jew💎,Anonymous,06/17,1542,1747,"Pls watch this documentary about ALCADEV & TRIFPSS. How the IPs are deceived by the CPP NPA. Watch it on YT.

{Alt-text image: Screenshot of a YouTube video titled ""i-docu: SILA'NG NAGPAHUGMAK SA MGA JUAN UG MARIA | a john paul seniel documentary"" by the YouTube channel ""i- docu BY JOHN PAUL SENIEL""}","Text, Image",09/01/21 04:18,https://drive.google.com/file/d/1a7j69z4F336-I7fLKf7GBlU4SSHXHgGd/view?usp=share_link,Transactional,1,0,0,0
16-71,07/04/23 16:57:07,https://twitter.com/MikeMalacadPA/status/1069870582454464512 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@MikeMalacadPA,Mikee D'Spike,Identified,05/17,206,41,"“Ang nakikita natin sa Talaingod (Davao del Norte), yung Salugpungan, at saka ALCADEV INC., ginagamit talaga yan. The people must know that the Salugpungan at saka yung ALCADEV is a breeding ground for NPA, yung... https://facebook.com/SirMikeMalacadAFP/posts/348336799078553 ","Text, URL",04/12/18 16:26,https://drive.google.com/file/d/1-Nrb6qxt5sFpHRJ-KwwgAIxTUt-L-vDL/view?usp=share_link,Rational,0,0,0,0
16-72,07/04/23 17:01:25,https://twitter.com/Kwaknet4/status/1267096412690329600,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@Kwaknet4,Kwaknet,Anonymous,05/20,0,0,"naahh man to be real
Where is the justice of my fellow SAF44??

why did the yellows sold the Spratleys??

The fuck man don't be biased u only see his wrong doings

u do know this ""ALCADEV"" thing is run by the NPA's","Text, Reply",31/05/20 22:11,https://drive.google.com/file/d/1_8uo5d9kZziYXaUCXea4hV0q8oYHtWy9/view?usp=share_link,Emotional,0,1,0,0
16-73,07/04/23 17:05:00,https://twitter.com/ARC7IT3CT/status/1329412978756599808 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@ARC7IT3CT,ARC7IT3CT,Anonymous,11/18,335,284,"NPA RECRUITMENT SCHOOL
Freedom of expression lang daw yan ng mga estudyante ng ALCADEV. More on https://web.facebook.com/www.kabus.com.ph/posts/138041394731378
#TindigLabanSaCPPNPANDF
#HandsOffOurChildren
#CPPNPANDFTerrorists

{Alt-text image: A collage of 3 photos taken of students' presentation during ALCADEV graduation showing them holding firearms. The text reads ""ALERT! STUDENTS' PRESENTATION DURING ALCADEV GRADUATION IN SURIGAO DEL SUR DEMONSTRATING ON HOW TO AMBUSH AND ATTACK GOVERNMENT INSTALLATION. ALCADEV AND TRIFPPS SCHOOLS ARE BEING FUNDED BY RURAL MISSIONARIES OF THE PHILIPPINES""}","Text, URL",19/11/20 21:15,https://drive.google.com/file/d/1xIjDYFSjHIyUOSAU25bPh7D0MbYhd-7-/view?usp=share_link,"Rational, Emotional",0,0,0,0
16-74,07/04/23 17:22:02,https://twitter.com/iskonglasalista/status/959911507172540416 ,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@iskonglasalista,Benedict Exconde,Anonymous,04/09,2567,6087,"CPP-NPA-NDF cadres like Casilao will never admit that the ""lumad schools"" (a.k.a. ""ALCADEV"") are not really schools with the necessary DepEd licenses but...

http://gmanetwork.com/news/news/nation/642039/solon-tells-duterte-how-can-lumads-reach-college-if-their-schools-are-bombed/story/?utm_source=GMANews&utm_medium=Facebook&utm_campaign=news","Text, URL",04/02/18 06:08,https://drive.google.com/file/d/1Ehqke8QytGFydOj2H7-5w5yKuLfVkI1L/view?usp=share_link,Rational,0,3,0,0
16-75,07/04/23 17:26:39,https://twitter.com/iskonglasalista/status/959912246292881408,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@iskonglasalista,Benedict Exconde,Anonymous,04/09,2567,6087,"...are a CPP-NPA-NDF front from the recruitment, indoctrination and training of lumads that are being manned by ""teachers"" (who are not even real teachers who passed the LET to begin with) from UP.

http://gmanetwork.com/news/news/nation/642039/solon-tells-duterte-how-can-lumads-reach-college-if-their-schools-are-bombed/story/?utm_source=GMANews&utm_medium=Facebook&utm_campaign=news

http://gmanetwork.com/news/news/nation/642039/solon-tells-duterte-how-can-lumads-reach-college-if-their-schools-are-bombed/story/?utm_source=GMANews&utm_medium=Facebook&utm_campaign=news","Text, Reply, URL",04/02/18 06:11,https://drive.google.com/file/d/1zpM2K3RegTWKs8Liqp25HtZl8kZjkYBr/view?usp=share_link,Rational,0,2,0,0
16-76,18/04/23 23:00:33,https://twitter.com/privatenetizen/status/1361318273954971653 ,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, cpp",@privatenetizen,Private Netizen 🇵🇭,Anonymous,10/15,37,1,"CPP gets so much funds for this stage-managed ""bakwit"" from foreign funder  For every IP they report to have evacuated they get a euro/day for financial support Children are taught to tell lies to their foreign donors how d attacks of d AFP in their communities forced them 2 flee","Text, Reply",15/02/21 22:15,https://drive.google.com/file/d/1m_N2Ax7JMqbzF4HCO6YiOvqQ1durrBk0/view?usp=share_link,Rational,0,0,0,0
16-77,18/04/23 22:21:41 ,https://twitter.com/KawalPH/status/641859674858496000,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, cpp",@KawalPH,Kawal Pinoy,Anonymous,05/13,288,443,"People Should Know!

Alamin natin kung ano ang katotohanan sa likod ng Operation Bakwit.

CPP-NPA-NDF/Makabayan... http://fb.me/6Rlmc9Rxo","Text, URL",10/09/15 14:24,https://drive.google.com/file/d/1DAn1yqHac48VKsDJyemUaQyedSkQ38yd/view?usp=sharing,Rational,0,0,0,0
16-78,07/04/23 17:39:20,https://twitter.com/soundspiderfool/status/1070462875679055873,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, communist",@soundspiderfool,Christian Mar,Anonymous,01/15,14,114,It will take the dismantling of communist schools in Lumad territories to stop the DepEd doppelganger from victimizing more indigenous communities. http://bit.ly/2KYrjrA,"Text, URL",06/12/18 07:40,https://drive.google.com/file/d/114VA8xMQoveXxtNDsfWegNDpnPwHnpVj/view?usp=share_link,Rational,0,0,0,0
16-79,07/04/23 17:43:18,https://twitter.com/ciemnyaniolph/status/1207499031712165888,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@ciemnyaniolph,Ciemny Aniol,Anonymous,09/19,189,92,"Hindi ba yan ang talagang gusto nyo? Para mas madali nyong mahikayat ang mga bakwit sa pagiging NPA?

Don't pretend na naaawa rin kayo, dahil ang totoo mas gusto nyong nangyayari yan para me maisumbat kayo sa govt. 

Besides, nakakatulong ba kayo sa knila?
#NPAsalot","Text, Reply",19/12/19 11:12,https://drive.google.com/file/d/1HA6H6orabWspCRvxFcVAZOmjFAFE9DXQ/view?usp=share_link,Emotional,0,0,0,0
16-80,07/04/23 17:46:04,https://twitter.com/GreggIbe/status/1581249875559485440,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@GreggIbe,GBMI gregg,Anonymous,12/11,2250,1257,"There are such schools that are interspersed with indoctrination; many who took up arms for the NPA come from indigenous ranks, and so called bakwit schools inculcated in them to deride, resist everything governmental. It is deviltry! that'll favor JOMA.","Text, Reply",15/10/22 19:45,https://drive.google.com/file/d/1taRHEdQQHYZcFtODdbU3KrPCi6MJDImd/view?usp=share_link,"Rational, Emotional",0,0,0,0
16-81,12/04/23 14:50:54,https://twitter.com/ParladeJr/status/1200060051982958593 ,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@ParladeJr,Antonio Jr Parlade,Identified,11/19,12,6974,Tweet pa more. Bakwit daw? O pinilit ng NPA lumisan sa bundok para makakuha ng pondo sa abroad? Martial Law? NPA lang apektado sa ML kasi hndi na makapang kalsasa. Ang taga Mindanao gusto ML. Si April na taga Manila ayaw. Bakit kaya? Biktima ng CPP propaganda,"Text, Reply",28/11/19 22:33,https://drive.google.com/file/d/1Pl4xJ3w07ZD4dt9nzKpf8AorQ9cU2tX6/view?usp=share_link,Emotional,0,0,0,0
16-82,12/04/23 15:48:07,https://twitter.com/ParladeJr/status/1200060854932082688 ,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@ParladeJr,Antonio Jr Parlade,Identified,11/19,12,6974,"Ang Lumad ay termino ng CPP. Manobo, Bagobo, Tiruray, madami pang tribu at hindi sila lumad. Kanya kanyang kultura meron sila.  Ang school nila na gawa ng CPP NPA ay katabi lng ng DepEd. Konti lng malayo talaga. Gusto ng NPA schools radikalisasyon ng mga batang IP. Armas, Bala, K","Text, Reply",28/11/19 22:36,https://drive.google.com/file/d/194JE_c30cW5yYXnGevGPFTvtEvao-X3x/view?usp=share_link,Rational,1,0,0,0
16-83,12/04/23 15:51:45,https://twitter.com/ParladeJr/status/1200061757374394368 ,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@ParladeJr,Antonio Jr Parlade,Identified,11/19,12,6974,"Ikaw April, makinig ka sa kanta nilang Lupang Hinirang, version ng kumunista para maniwala ka. A B K D..gusto mo kumpletohin ko? Fr Pops Tentorio (Italian rebel priest) kilala mo? Sya ang tinuturo sa NPA school na National Hero nila. Italyano? Ibon Manual po yan nakasulat.","Text, Reply",28/11/19 22:39,https://drive.google.com/file/d/1tYUKyA4K2sK2lWtQQYzYscmKTdwHmRml/view?usp=share_link,Emotional,0,0,0,0
16-84,12/04/23 15:53:24,https://twitter.com/ParladeJr/status/1200062700690104322,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@ParladeJr,Antonio Jr Parlade,Identified,11/19,12,6974,"Inis ka na? Ito pa. Ang mga guro nila dun sa Sakugoungan ay hndi nagbibigay ng card na valid, kaya hindi matanggap sa ibang DepEd school. Pagaaral ba ang pakay? O para maging kadre ng NPA? Sa 800 na skolar ni Fr Pops, 700+ nag NPA. National hero?
#NTFELCAC","Text, Reply",28/11/19 22:43,https://drive.google.com/file/d/1KiSC09-ggkMux6jU-cRdEWTzd6SKBMU_/view?usp=share_link,"Rational, Emotional",5,0,3,0
16-85,12/04/23 15:55:40,https://twitter.com/gflorendo1/status/1418438174125170690 ,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@gflorendo1,gflorendo,Anonymous,07/21,4,0,Haran is one of several Bakwit camps and schools run by groups linked with the CPP/NPA/NDF. Indigenous Peoples in these camps and make shift schools are used for propaganda and to raise funds.,"Text, Reply",23/07/21 13:09,https://drive.google.com/file/d/18OdDgBDEjFlaDu88ClSe1DHQXOuMC72B/view?usp=share_link,Rational,0,0,0,0
16-86,12/04/23 15:59:05,https://twitter.com/Emjay_Chico/status/1345743069224714247 ,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, npa",@Emjay_Chico,Adventurer90,Anonymous,09/14,528,210,"Taktikang Bakwit of the CPP-NPA-NDF.
-Occurs in their influenced areas.
- Organized Masses were instructed to evacuate. 
- Front Orgs cascade the Propaganda line
- Conducts Donation Drive kuno
- Organize Fault-Finding Mission

#PerwisyongKOMUNISTA
#BasaginAngPropaganda",Text,03/01/21 22:45,https://drive.google.com/file/d/1TXs6Kgnxgr7oEhC4hw4UOg4Ak76jVpnX/view?usp=share_link,Rational,2,0,1,0
16-87,12/04/23 16:03:40,https://twitter.com/1stylemomsi/status/1114209647844515845 ,16,REDT,Red-tagging of Lumads/Lumad schools,bakwit,@1stylemomsi,1stylemomsi🦋,Anonymous,05/17,1965,5730,This is a pattern they have established. A fake bakwit (displaced person) to ask for EU funding. A fake advocacy to Save Our Communist Schools and ask for more funding. Kill IPs and attribute it to government then ask for Support to HR (Human Rights) Watch.,"Text, Reply",06/04/19 00:54,https://drive.google.com/file/d/1EnykVlUxzeEdZd_n53o_kjXeIoMAf9hg/view?usp=share_link,Rational,0,0,0,0
16-88,12/04/2316:12:53,https://twitter.com/krameoj2/status/1039674451124600832 ,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@krameoj2,krameoj,Anonymous,06/18,480,430,LUMAD na yan.. kumita na... puro NPA yan.. schools for indoctrination... sa wala kwenta ideology... AT NAKI SAMA pa ang mga leftist ng USTE... haaayzt... for sure minority lng kyo dyan....LFS LFS no relevance,"Text, Reply",12/09/18 08:38,https://drive.google.com/file/d/1tEvjxtwPmRIhBEjOk8aOp3X8wy-Dftuw/view?usp=share_link,Emotional,0,0,0,0
16-89,12/04/2316:16:26,https://twitter.com/MichaelPS_/status/1559404888182132737,16,REDT,Red-tagging of Lumads/Lumad schools,"salugpongan, npa",@MichaelPS_,Michael PS,Anonymous,03/19,11,13,"Worst than mahjong. Here in Mindanao, Rural Missionaries of the Philippines (RMP) manage Salugpongan/NPA schools.","Text, Reply",16/08/22 13:01,https://drive.google.com/file/d/1oerEmJhmC9HfggcjI2HNwvvRJB6htLRJ/view?usp=share_link,Rational,2,0,0,0
16-90,04/12/23 16:19:21,https://twitter.com/GiboTeodoroJr/status/1554309069368082435,16,REDT,Red-tagging of Lumads/Lumad schools,"salugpongan, npa",@GiboTeodoroJr,Bagong Pilipinas 🇵🇭,Anonymous,04/22,98,9014,https://facebook.com/100077426090943/posts/pfbid0EkScusEnmkkQzEJau53t93qyb697pUuD93PGpE8Jbag2PoippZBuU4dcRK68SCWgl/?d=n,"URL, Reply",02/08/22 11:32,https://drive.google.com/file/d/1zf0QlhaV0G9p3z2VwQNeh2wvIjcNfcsg/view?usp=share_link,Rational,14,0,3,0
16-91,13/04/23 13:30:28,https://twitter.com/RockyMa46760498/status/1320153870606028800,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, communist",@RockyMa46760498,Rocky Marciano 🔴🟢,Identified,09/19,838,3049,"She lied. We were deceived. This place, where she appears to be teaching or delivering a speech, according to a post circulating in the social media is Salugpungan or ALCADEV in Surigao, a school notorious for teaching communist rebel movement ideology.",Text,25/10/20 08:03,https://drive.google.com/file/d/1dvnylmvI7yq4_OMhJnmD_0KIgURDBaxa/view?usp=sharing,Rational,47,4,14,2
16-92,13/04/23 14:02:29,https://twitter.com/Matina_Aplaya/status/1402229026115121161,16,REDT,Red-tagging of Lumads/Lumad schools,"bakwit, terrorist",@Matina_Aplaya,Matina Aplaya,Anonymous,05/16,170,139,"people are angry. in Bukidnon, the residents demolished a brainwashing center kaya ngawa na naman ang wokes at sinisi ang army.

bakwit schools do not educate. it's a radicalization institute for terrorism

{Alt-image: Screenshot of a tweet from Save Our Schools Network about a Lumad Bakwit school being demolished}","Text, Image, Reply",08/06/21 19:40,https://drive.google.com/file/d/1Y-yz9hSbhp0mHizfPapOfG0I9GHHNcTI/view?usp=sharing,Rational,3,0,1,0
